instrument,t_signal,t_start,t_end,side,ret,label,uniqueness_weight,sigma
es1s,2020-02-26,2020-02-27,2020-03-02,1,0.03587232851685318,1,0.38888888888888884,0.009498616495319278
es1s,2020-02-27,2020-02-28,2020-03-02,1,0.037903473425014766,1,0.41666666666666663,0.011727687428820185
es1s,2020-02-28,2020-03-02,2020-03-09,1,-0.10926517441872985,0,0.30277777777777776,0.011611252607823905
es1s,2020-03-02,2020-03-03,2020-03-09,1,-0.0868293933674229,0,0.29666666666666663,0.012750297654907239
es1s,2020-03-03,2020-03-04,2020-03-06,1,-0.04960918476112841,0,0.26111111111111107,0.012984943705741806
es1s,2020-03-04,2020-03-05,2020-03-09,-1,0.092983258940869,1,0.21666666666666667,0.014004597407051416
es1s,2020-03-05,2020-03-06,2020-03-09,-1,0.07575731246640593,1,0.2,0.014572671724726356
es1s,2020-03-06,2020-03-09,2020-03-12,-1,0.1069691846056946,1,0.3208333333333333,0.0146057931003182
es1s,2020-03-09,2020-03-10,2020-03-12,1,-0.14901688565104365,0,0.3611111111111111,0.017826374482246825
es1s,2020-03-10,2020-03-11,2020-03-12,1,-0.1042359467522429,0,0.29166666666666663,0.01873196409328906
es1s,2020-03-11,2020-03-12,2020-03-13,1,0.08795598268782356,1,0.375,0.019493617041905338
es1s,2020-03-12,2020-03-13,2020-03-16,1,-0.10955244150979304,0,0.5,0.02396741134070653
es1s,2020-03-13,2020-03-16,2020-03-30,1,0.08217518562961423,1,0.25086580086580085,0.027047548579816713
es1s,2020-03-16,2020-03-17,2020-03-23,1,-0.11274145080057707,0,0.29,0.030659880820276573
es1s,2020-03-17,2020-03-18,2020-04-01,1,0.01917782252759892,1,0.19025974025974027,0.030813931457696533
es1s,2020-03-18,2020-03-19,2020-04-02,1,0.05199417889112645,1,0.1751082251082251,0.030797110153030095
es1s,2020-03-19,2020-03-20,2020-03-26,1,0.13068706294987198,1,0.16857142857142857,0.030490701741788993
es1s,2020-03-20,2020-03-23,2020-03-25,1,0.10527044179736755,1,0.15873015873015872,0.03065500264891212
es1s,2020-03-23,2020-03-24,2020-04-07,1,0.08035817504266785,1,0.15854978354978352,0.030543684433638443
es1s,2020-03-24,2020-03-25,2020-04-08,1,0.10312859832710597,1,0.15476190476190474,0.03329876463493798
es1s,2020-03-26,2020-03-27,2020-04-13,-1,-0.08911395899229024,0,0.14935064935064934,0.0337556371374342
es1s,2020-03-30,2020-03-31,2020-04-15,-1,-0.07684212928709666,0,0.145021645021645,0.03375409145127322
es1s,2020-04-01,2020-04-02,2020-04-14,1,0.12199078543572206,1,0.13988095238095238,0.03375223127447393
es1s,2020-04-02,2020-04-03,2020-04-09,1,0.11299417879771045,1,0.13690476190476192,0.0337023045252369
es1s,2020-04-03,2020-04-06,2020-04-21,1,0.03255193018246594,1,0.12795815295815297,0.03339891413675349
es1s,2020-04-06,2020-04-07,2020-04-22,-1,-0.053967610747522876,0,0.12406204906204908,0.03434845744658392
es1s,2020-04-07,2020-04-08,2020-04-23,-1,-0.016589239615735885,0,0.1217893217893218,0.03400697033612975
es1s,2020-04-08,2020-04-09,2020-04-24,-1,-0.01773902200044919,0,0.11951659451659453,0.034055032922303045
es1s,2020-04-09,2020-04-13,2020-04-27,-1,-0.03900463332707105,0,0.11724386724386728,0.03380455574429306
es1s,2020-04-14,2020-04-15,2020-04-29,-1,-0.058098912371246314,0,0.1130952380952381,0.03342874187663024
es1s,2020-04-15,2020-04-16,2020-04-30,-1,-0.040427297806157725,0,0.11020923520923522,0.03326374145748556
es1s,2020-04-16,2020-04-17,2020-05-01,-1,0.01695476991806899,1,0.10732323232323232,0.032941286686713
es1s,2020-04-17,2020-04-20,2020-05-04,-1,-0.006658700859049738,0,0.10606060606060606,0.03288151717828983
es1s,2020-04-20,2020-04-21,2020-05-05,-1,-0.045175607733657586,0,0.10606060606060606,0.03270255244896568
es1s,2020-04-21,2020-04-22,2020-05-06,1,0.016008879779222163,1,0.10707070707070708,0.03258592961935651
es1s,2020-04-22,2020-04-23,2020-05-07,1,0.035069618657280976,1,0.10808080808080808,0.0324030492091365
es1s,2020-04-23,2020-04-24,2020-05-08,1,0.034390328947924154,1,0.10909090909090911,0.032081954516031456
es1s,2020-04-24,2020-04-27,2020-05-11,-1,-0.018561416904175232,0,0.11136363636363637,0.031863853661873866
es1s,2020-04-29,2020-04-30,2020-05-14,-1,0.019306626296532237,1,0.11262626262626263,0.031188996291766958
es1s,2020-04-30,2020-05-01,2020-05-15,-1,-0.008732909556593782,0,0.11161616161616163,0.030937106237358576
es1s,2020-05-01,2020-05-04,2020-05-18,1,0.04253011807142126,1,0.11060606060606061,0.03088533985291903
es1s,2020-05-04,2020-05-05,2020-05-19,1,0.02094589299437466,1,0.10959595959595961,0.030578910528798933
es1s,2020-05-05,2020-05-06,2020-05-20,1,0.04654407809868122,1,0.1095959595959596,0.030321312068095976
es1s,2020-05-06,2020-05-07,2020-05-21,1,0.019598358068138033,1,0.1095959595959596,0.03004338637467532
es1s,2020-05-07,2020-05-08,2020-05-22,1,0.008331256212434468,1,0.10959595959595961,0.02983519608462641
es1s,2020-05-11,2020-05-12,2020-05-27,-1,-0.06218035283316148,0,0.10732323232323235,0.02933766031466818
es1s,2020-05-12,2020-05-13,2020-05-28,1,0.07694787466588515,1,0.10505050505050506,0.029249491879098654
es1s,2020-05-13,2020-05-14,2020-05-29,1,0.06624938554439286,1,0.10404040404040406,0.029022296315389596
es1s,2020-05-14,2020-05-15,2020-06-01,1,0.07036203738856628,1,0.10404040404040406,0.028786676183350478
es1s,2020-05-15,2020-05-18,2020-06-02,1,0.04282812201034414,1,0.10404040404040406,0.02850023539729074
es1s,2020-05-18,2020-05-19,2020-06-03,1,0.06595614538418193,1,0.10404040404040406,0.028645402041291342
es1s,2020-05-20,2020-05-21,2020-06-05,-1,-0.08161293646544365,0,0.1022038567493113,0.0282118001666622
es1s,2020-05-21,2020-05-22,2020-06-08,-1,-0.08888624097912423,0,0.10036730945821853,0.027975561531790462
es1s,2020-05-22,2020-05-26,2020-06-09,-1,-0.06809081171994169,0,0.09853076216712581,0.02770625707287399
es1s,2020-05-26,2020-05-27,2020-06-10,-1,-0.04839005590106993,0,0.09669421487603307,0.027495467317528624
es1s,2020-05-27,2020-05-28,2020-06-11,-1,0.009176272382658723,1,0.09586776859504133,0.027281366972643526
es1s,2020-05-28,2020-05-29,2020-06-12,-1,0.002386145043582033,1,0.09504132231404959,0.027009914319662983
es1s,2020-05-29,2020-06-01,2020-06-15,-1,-0.006202076351747188,0,0.09421487603305785,0.026741191206959895
es1s,2020-06-01,2020-06-02,2020-06-16,-1,-0.01690283659889147,0,0.09338842975206613,0.026478304857159955
es1s,2020-06-02,2020-06-03,2020-06-17,-1,-0.00013202850236293528,0,0.09256198347107439,0.02623037705968794
es1s,2020-06-03,2020-06-04,2020-06-18,-1,0.00044075706467161524,1,0.09173553719008264,0.026023439766651165
es1s,2020-06-04,2020-06-05,2020-06-19,-1,0.03716409885031968,1,0.09090909090909091,0.02576983638607003
es1s,2020-06-05,2020-06-08,2020-06-22,-1,0.033258003151738436,1,0.09090909090909091,0.02571364511275259
es1s,2020-06-08,2020-06-09,2020-06-23,-1,0.023929981546710444,1,0.09090909090909091,0.025503558892698855
es1s,2020-06-09,2020-06-10,2020-06-24,-1,0.04036655756844354,1,0.09090909090909091,0.025280201822389804
es1s,2020-06-10,2020-06-11,2020-06-25,-1,-0.023484685560156038,0,0.09090909090909091,0.025053335315121304
es1s,2020-06-11,2020-06-12,2020-06-26,1,-0.005600158874567107,0,0.09090909090909091,0.026118270073969097
es1s,2020-06-12,2020-06-15,2020-06-29,1,-0.004664683775473577,0,0.09090909090909091,0.02588016054673301
es1s,2020-06-15,2020-06-16,2020-06-30,1,-0.009019953238240674,0,0.09090909090909091,0.025676312716809
es1s,2020-06-16,2020-06-17,2020-07-01,1,-0.0012882449420539288,0,0.09090909090909091,0.025535897994886213
es1s,2020-06-17,2020-06-18,2020-07-02,1,0.00995672269325798,1,0.09090909090909091,0.02529098317090566
es1s,2020-06-18,2020-06-19,2020-07-06,1,0.03611079985191967,1,0.09090909090909091,0.025045766372937157
es1s,2020-06-19,2020-06-22,2020-07-07,1,0.008243673881709768,1,0.09173553719008266,0.024869352410634156
es1s,2020-06-22,2020-06-23,2020-07-08,1,0.014326892622114507,1,0.09357208448117539,0.024721158390953672
es1s,2020-06-23,2020-06-24,2020-07-09,1,0.0297275525499483,1,0.09540863177226813,0.024475921261710526
es1s,2020-06-24,2020-06-25,2020-07-10,1,0.03448755595475195,1,0.09850780532598714,0.024458255483524826
es1s,2020-06-25,2020-06-26,2020-07-13,1,0.045903838894921556,1,0.10160697887970614,0.024231619932906515
es1s,2020-06-26,2020-06-29,2020-07-14,1,0.04357760701342084,1,0.10470615243342517,0.024183625933755722
es1s,2020-06-29,2020-06-30,2020-07-15,1,0.04097407420822652,1,0.10942870261052078,0.0240130113361027
es1s,2020-06-30,2020-07-01,2020-07-16,1,0.029061195591628675,1,0.11631575495211859,0.023845980191610428
es1s,2020-07-01,2020-07-02,2020-07-17,1,0.026802802626257005,1,0.1232028072937164,0.02361301427763245
es1s,2020-07-02,2020-07-06,2020-07-20,1,0.022830085019243995,1,0.1300898596353142,0.02340091765332738
es1s,2020-07-08,2020-07-09,2020-07-23,-1,-0.02716662318204932,0,0.14213564213564214,0.022865356274116604
es1s,2020-07-10,2020-07-13,2020-07-27,1,0.026331746249794286,1,0.14213564213564214,0.022493460290901077
es1s,2020-07-13,2020-07-14,2020-07-28,1,0.009223859657733868,1,0.14213564213564214,0.022321504444428476
es1s,2020-07-16,2020-07-17,2020-07-31,1,0.015283971778566219,1,0.1331890331890332,0.02178829777241089
es1s,2020-07-17,2020-07-20,2020-08-03,1,0.013239144968272498,1,0.12712842712842715,0.02158191662621404
es1s,2020-07-20,2020-07-21,2020-08-04,1,0.014882930691349827,1,0.12106782106782109,0.02139863707356888
es1s,2020-07-21,2020-07-22,2020-08-05,1,0.015346346913456266,1,0.11500721500721502,0.021185749555348764
es1s,2020-07-22,2020-07-23,2020-08-06,1,0.03553460945484943,1,0.11111111111111115,0.020978638068213186
es1s,2020-07-23,2020-07-24,2020-08-07,-1,-0.04299192316476219,0,0.10883838383838383,0.020853478802831723
es1s,2020-07-24,2020-07-27,2020-08-10,1,0.03660241545822185,1,0.10656565656565657,0.020681557271304333
es1s,2020-07-28,2020-07-29,2020-08-12,1,0.035488812960766225,1,0.10429292929292931,0.02032511539193306
es1s,2020-07-29,2020-07-30,2020-08-13,1,0.03597455862273069,1,0.10202020202020204,0.0201820728508118
es1s,2020-07-30,2020-07-31,2020-08-14,1,0.029587063834997984,1,0.10101010101010101,0.019984463446886893
es1s,2020-07-31,2020-08-03,2020-08-17,1,0.027370208505130833,1,0.10202020202020202,0.019790603044663627
es1s,2020-08-03,2020-08-04,2020-08-18,1,0.026022105361531267,1,0.10303030303030303,0.019612984984172972
es1s,2020-08-04,2020-08-05,2020-08-19,1,0.0169691980620037,1,0.10404040404040406,0.01941974641589812
es1s,2020-08-05,2020-08-06,2020-08-20,1,0.010855125175139868,1,0.10505050505050506,0.01923192027730543
es1s,2020-08-06,2020-08-07,2020-08-21,1,0.014175160354714222,1,0.10606060606060606,0.019064622180295424
es1s,2020-08-07,2020-08-10,2020-08-24,1,0.022050227844881753,1,0.10707070707070708,0.018876298896436817
es1s,2020-08-11,2020-08-12,2020-08-26,1,0.03219138592224979,1,0.10934343434343434,0.01854157924890971
es1s,2020-08-12,2020-08-13,2020-08-27,-1,-0.034294912055577775,0,0.11035353535353537,0.018414203728499223
es1s,2020-08-13,2020-08-14,2020-08-28,-1,-0.04166055403029212,0,0.11136363636363637,0.01823423416479145
es1s,2020-08-17,2020-08-18,2020-09-01,1,0.040503077419918654,1,0.11136363636363637,0.01788780647021628
es1s,2020-08-18,2020-08-19,2020-09-02,1,0.059424845921429714,1,0.11035353535353537,0.01770989987452112
es1s,2020-08-19,2020-08-20,2020-09-02,-1,-0.057055702888258786,0,0.11027777777777778,0.017553610923232547
es1s,2020-08-20,2020-08-21,2020-09-04,-1,-0.007342176888657903,0,0.10934343434343434,0.017379245069507027
es1s,2020-08-21,2020-08-24,2020-09-08,-1,0.0272085392864998,1,0.10833333333333335,0.017208193322291582
es1s,2020-08-25,2020-08-26,2020-09-10,-1,0.04098363390557225,1,0.10833333333333334,0.01691335733535274
es1s,2020-08-26,2020-08-27,2020-09-11,-1,0.04444198113647335,1,0.10833333333333334,0.01679084872645299
es1s,2020-08-27,2020-08-28,2020-09-14,-1,0.03543277589590943,1,0.10833333333333335,0.016624021126396497
es1s,2020-08-28,2020-08-31,2020-09-15,-1,0.027138548679786823,1,0.10833333333333335,0.016465628591442964
es1s,2020-08-31,2020-09-01,2020-09-08,-1,0.05582505808590543,1,0.10222222222222221,0.01631007168488351
es1s,2020-09-01,2020-09-02,2020-09-08,-1,0.07053068808919338,1,0.10277777777777777,0.01616891466150085
es1s,2020-09-02,2020-09-03,2020-09-18,-1,0.039832490971441814,1,0.1075068870523416,0.016103742310977078
es1s,2020-09-03,2020-09-04,2020-09-21,-1,0.03955651683165229,1,0.10567033976124884,0.01671649197130215
es1s,2020-09-04,2020-09-08,2020-09-22,1,-0.007892519557342936,0,0.10484389348025712,0.01667447925162678
es1s,2020-09-08,2020-09-09,2020-09-23,1,-0.04794499536151431,0,0.10401744719926538,0.016896855246317653
es1s,2020-09-09,2020-09-10,2020-09-24,1,-0.028129737430830026,0,0.10091827364554637,0.016923849029877237
es1s,2020-09-10,2020-09-11,2020-09-25,1,-0.011011543835745208,0,0.09908172635445363,0.016965698804642076
es1s,2020-09-11,2020-09-14,2020-09-28,1,-0.007814574801201957,0,0.09724517906336089,0.016801904846334825
es1s,2020-09-14,2020-09-15,2020-09-29,1,-0.01820596449692058,0,0.09540863177226813,0.01674438430395095
es1s,2020-09-15,2020-09-16,2020-09-30,1,-0.008170586938665458,0,0.09357208448117539,0.016596302031168363
es1s,2020-09-16,2020-09-17,2020-10-01,1,0.004986056840542652,1,0.09173553719008264,0.016451291817453185
es1s,2020-09-17,2020-09-18,2020-10-02,1,0.006911604407791927,1,0.09090909090909091,0.016342835333311014
es1s,2020-09-18,2020-09-21,2020-10-05,1,0.0353966167144133,1,0.09090909090909091,0.016258130467106217
es1s,2020-09-21,2020-09-22,2020-10-06,1,0.016234854885436967,1,0.09090909090909091,0.016202467601451186
es1s,2020-09-22,2020-09-23,2020-10-07,1,0.05288969837377078,1,0.09090909090909091,0.016070602511286187
es1s,2020-09-23,2020-09-24,2020-10-08,1,0.059788607737150556,1,0.09090909090909091,0.01619056186772331
es1s,2020-09-24,2020-09-25,2020-10-09,1,0.055039406065279906,1,0.09090909090909091,0.016031736307940768
es1s,2020-09-25,2020-09-28,2020-10-12,1,0.05431100191448124,1,0.09090909090909091,0.016008756991415907
es1s,2020-09-28,2020-09-29,2020-10-12,1,0.05797880796647714,1,0.09090909090909091,0.016031911293950138
es1s,2020-09-29,2020-09-30,2020-10-12,1,0.05251942186117109,1,0.09090909090909091,0.01588488007830911
es1s,2020-09-30,2020-10-01,2020-10-15,1,0.03149348796389262,1,0.1005673619309983,0.015740684235132068
es1s,2020-10-01,2020-10-02,2020-10-12,1,0.056330373604057016,1,0.09090909090909093,0.01559338981354629
es1s,2020-10-02,2020-10-05,2020-10-19,1,0.008729835728743751,1,0.10323035550308278,0.015494353396191254
es1s,2020-10-05,2020-10-06,2020-10-12,1,0.05214657967889913,1,0.09090909090909091,0.01548794738282137
es1s,2020-10-06,2020-10-07,2020-10-21,1,0.007530101010282841,1,0.10405680178407449,0.015438408727353647
es1s,2020-10-07,2020-10-08,2020-10-22,1,0.0034123531112468797,1,0.10405680178407449,0.015429477455493548
es1s,2020-10-08,2020-10-09,2020-10-23,1,-0.006209406234757964,0,0.10405680178407452,0.015316088827296908
es1s,2020-10-09,2020-10-12,2020-10-26,1,-0.040214767318923705,0,0.10405680178407452,0.015217339741716157
es1s,2020-10-12,2020-10-13,2020-10-27,1,-0.035356301466754836,0,0.10405680178407452,0.015222984875958042
es1s,2020-10-13,2020-10-14,2020-10-28,1,-0.06451936973393835,0,0.09933425160697888,0.015132264591671779
es1s,2020-10-14,2020-10-15,2020-10-28,1,-0.06293811446498765,0,0.09676767676767677,0.015026973053977053
es1s,2020-10-15,2020-10-16,2020-10-28,1,-0.05911842764562181,0,0.09517396184062851,0.01488314917471692
es1s,2020-10-16,2020-10-19,2020-10-28,1,-0.04764408243675522,0,0.09318181818181819,0.014752498747344196
es1s,2020-10-19,2020-10-20,2020-10-28,1,-0.050415783703008366,0,0.09220779220779222,0.01471314317860799
es1s,2020-10-20,2020-10-21,2020-10-28,1,-0.05048861956580186,0,0.09090909090909093,0.014568973147574776
es1s,2020-10-21,2020-10-22,2020-10-28,1,-0.055356577011011154,0,0.09090909090909091,0.014424571481710348
es1s,2020-10-22,2020-10-23,2020-10-28,1,-0.056081109719759326,0,0.09090909090909091,0.014291476282834182
es1s,2020-10-23,2020-10-26,2020-11-09,1,0.04339419558216662,1,0.1463301849665486,0.014149340265797618
es1s,2020-10-26,2020-10-27,2020-11-09,1,0.0464931429445512,1,0.15187229437229438,0.014234922267411538
es1s,2020-10-27,2020-10-28,2020-11-04,1,0.05121668658075684,1,0.1625721500721501,0.014103214256924812
es1s,2020-10-28,2020-10-29,2020-11-05,1,0.05951513694545785,1,0.1712301587301587,0.01487215555111281
es1s,2020-10-29,2020-10-30,2020-11-04,1,0.05083373555694948,1,0.15863095238095237,0.014818489330335725
es1s,2020-10-30,2020-11-02,2020-11-05,1,0.06004521911931704,1,0.14434523809523808,0.014759741420613794
es1s,2020-11-02,2020-11-03,2020-11-09,1,0.05286872981827795,1,0.14404761904761904,0.014693835812484814
es1s,2020-11-03,2020-11-04,2020-11-16,1,0.053285486239012414,1,0.14700176366843032,0.014769280890555174
es1s,2020-11-04,2020-11-05,2020-11-19,1,0.021243609146608833,1,0.1363669159123705,0.01491951209232087
es1s,2020-11-05,2020-11-06,2020-11-20,1,0.015166839280007949,1,0.13164436573527483,0.015014090240196147
es1s,2020-11-06,2020-11-09,2020-11-23,1,0.008988824566500853,1,0.12475731339367702,0.014868521534008187
es1s,2020-11-09,2020-11-10,2020-11-24,1,0.02558076409014909,1,0.12003476321658138,0.014801789719967255
es1s,2020-11-10,2020-11-11,2020-11-25,1,0.016469570695736735,1,0.11011740784468055,0.014657999544411129
es1s,2020-11-11,2020-11-12,2020-11-27,1,0.02901584503528376,1,0.10323035550308277,0.014538107270431594
es1s,2020-11-12,2020-11-13,2020-11-30,1,0.011450109480687587,1,0.09850780532598714,0.014483486103161794
es1s,2020-11-13,2020-11-16,2020-12-01,1,0.010297338191037397,1,0.09540863177226813,0.014447956067878277
es1s,2020-11-16,2020-11-17,2020-12-02,1,0.01663497254373425,1,0.09357208448117539,0.014370429070461549
es1s,2020-11-17,2020-11-18,2020-12-03,1,0.027527846519021182,1,0.09173553719008264,0.01425414362586131
es1s,2020-11-18,2020-11-19,2020-12-04,1,0.032429332551908274,1,0.09090909090909091,0.014233795930837252
es1s,2020-11-19,2020-11-20,2020-12-07,1,0.037685618899246265,1,0.09090909090909091,0.014097815884037213
es1s,2020-11-20,2020-11-23,2020-12-08,1,0.034628356841530206,1,0.09090909090909091,0.014009660331655132
es1s,2020-11-23,2020-11-24,2020-12-09,1,0.010882691845598202,1,0.09090909090909091,0.013886991321343998
es1s,2020-11-24,2020-11-25,2020-12-10,1,0.011308073756991277,1,0.09090909090909091,0.013896181738405856
es1s,2020-11-25,2020-11-27,2020-12-11,1,0.0067829385453226365,1,0.09090909090909091,0.013764888429723203
es1s,2020-11-27,2020-11-30,2020-12-14,1,0.006396390322448653,1,0.09090909090909091,0.013628631150743113
es1s,2020-11-30,2020-12-01,2020-12-15,1,0.008997490941627717,1,0.09090909090909091,0.013512825759154313
es1s,2020-12-01,2020-12-02,2020-12-16,1,0.008984261579787045,1,0.09090909090909091,0.01343446315949581
es1s,2020-12-02,2020-12-03,2020-12-17,1,0.014865063336426232,1,0.09090909090909091,0.013300812879089682
es1s,2020-12-03,2020-12-04,2020-12-18,1,0.004012572591706842,1,0.09090909090909091,0.013172739868635338
es1s,2020-12-04,2020-12-07,2020-12-21,1,0.00042846510917193825,1,0.09090909090909091,0.01308388648906532
es1s,2020-12-07,2020-12-08,2020-12-22,1,-0.004923902140250291,0,0.09090909090909091,0.01296410962495205
es1s,2020-12-08,2020-12-09,2020-12-23,-1,-0.004231770554465442,0,0.09090909090909091,0.01283654172256038
es1s,2020-12-09,2020-12-10,2020-12-24,1,0.008981817024229954,1,0.09090909090909091,0.012781214549672116
es1s,2020-12-10,2020-12-11,2020-12-28,1,0.019717270290215083,1,0.09090909090909091,0.012659267881520116
es1s,2020-12-11,2020-12-14,2020-12-29,1,0.021739986635589403,1,0.09090909090909091,0.012542533941350058
es1s,2020-12-14,2020-12-15,2020-12-30,1,0.010052370023215573,1,0.09090909090909091,0.012440956441226718
es1s,2020-12-15,2020-12-16,2020-12-31,1,0.014793586598454311,1,0.09090909090909091,0.012422825490801323
es1s,2020-12-16,2020-12-17,2021-01-04,1,-0.005536813604079427,0,0.09173553719008266,0.012299292779450945
es1s,2020-12-17,2020-12-18,2021-01-05,1,0.0032325437274831614,1,0.09256198347107439,0.012187414204447772
es1s,2020-12-18,2020-12-21,2021-01-06,1,0.014745259581770753,1,0.09338842975206613,0.012075209958122257
es1s,2020-12-21,2020-12-22,2021-01-07,1,0.03165096425659897,1,0.09421487603305785,0.011995965263313698
es1s,2020-12-22,2020-12-23,2021-01-08,1,0.03627548028386762,1,0.09504132231404959,0.011887843126878135
es1s,2020-12-23,2020-12-24,2021-01-11,1,0.02591302999213596,1,0.09586776859504133,0.011769573108085081
es1s,2020-12-24,2020-12-28,2021-01-12,1,0.01781488220723837,1,0.09669421487603307,0.01165711929608591
es1s,2020-12-28,2020-12-29,2021-01-13,1,0.022263753944400833,1,0.09752066115702479,0.011587593884206826
es1s,2020-12-29,2020-12-30,2021-01-14,-1,-0.017830290745257216,0,0.09834710743801653,0.011482838092066242
es1s,2020-12-30,2020-12-31,2021-01-15,-1,-0.0035813939135422856,0,0.09917355371900828,0.011368649917960171
es1s,2021-01-04,2021-01-05,2021-01-20,1,0.033520475467987865,1,0.09917355371900825,0.01140930189453147
es1s,2021-01-05,2021-01-06,2021-01-21,1,0.027814354837545352,1,0.09834710743801653,0.011325149808006791
es1s,2021-01-06,2021-01-07,2021-01-22,1,0.010157694075280332,1,0.09752066115702479,0.011231392917684269
es1s,2021-01-07,2021-01-08,2021-01-25,1,0.008087703881354713,1,0.09669421487603307,0.011272061474549368
es1s,2021-01-08,2021-01-11,2021-01-26,1,0.013229612037738647,1,0.09586776859504133,0.011174767476019889
es1s,2021-01-11,2021-01-12,2021-01-27,1,-0.013331319972309075,0,0.09504132231404959,0.011126625478988602
es1s,2021-01-12,2021-01-13,2021-01-28,1,-0.006461844982082354,0,0.09421487603305785,0.011016661856230424
es1s,2021-01-13,2021-01-14,2021-01-29,1,-0.022945047166892607,0,0.09338842975206613,0.010907728290807099
es1s,2021-01-14,2021-01-15,2021-02-01,1,0.0009298619151820731,1,0.09944903581267218,0.010820689741998814
es1s,2021-01-15,2021-01-19,2021-02-02,1,0.007294265953936119,1,0.10550964187327824,0.010789515583274546
es1s,2021-01-19,2021-01-20,2021-01-29,1,-0.037022870103772476,0,0.09090909090909091,0.010717159661000892
es1s,2021-01-20,2021-01-21,2021-01-29,-1,0.03728291431206898,1,0.09090909090909093,0.010762079231273102
